Date,sDeaths,testDate,testDeaths
1,0,14,289
2,1,22,2311
3,2,30,8464
4,3,35,12641
5,5,40,16081
6,10,46,19315
7,17,50,20852
8,28,56,23190
9,35,65,25613
10,54,,
11,55,,
12,133,,
13,195,,
15,342,,
16,533,,
17,623,,
18,830,,
19,1043,,
20,1375,,
21,1772,,
23,2808,,
24,3647,,
25,4365,,
26,5138,,
27,5982,,
28,6803,,
29,7716,,
31,9387,,
32,10348,,
33,11198,,
34,11947,,
36,13341,,
37,14045,,
38,14792,,
39,15447,,
41,16606,,
42,17209,,
43,17756,,
44,18056,,
45,18708,,
47,20002,,
48,20043,,
49,20453,,
51,21282,,
52,21717,,
53,22157,,
54,22524,,
55,22902,,
57,23521,,
58,23822,,
59,24275,,
60,24543,,
61,24543,,
62,25100,,
63,25264,,
64,25428,,
66,25857,,
67,26070,,
68,26299,,
69,26478,,
70,26621,,
71,26744,,
72,26920,,
