Date,wConfirmed
1,6
2,6
3,11
4,22
5,45
6,73
7,98
8,134
9,185
10,250
11,316
12,472
13,573
14,709
15,886
16,1112
17,1365
18,1747
19,2209
20,2787
21,3296
22,4119
23,4214
24,6467
25,7853
26,9296
27,11024
28,12906
29,15008
30,18858
31,22671
32,27392
33,31716
34,37389
35,42718
36,49802
37,58467
38,67104
39,76065
40,84557
41,93416
42,103759
43,114352
44,126161
45,138140
46,150338
47,161300
48,171786
49,182472
50,194257
51,206176
52,219035
53,230171
54,240696
55,249713
56,259143
57,269406
58,281143
59,292917
60,303516
61,314130
62,322626
63,332303
64,342221
