Date,Confirmed,Deaths,Recovered
1,4,0,0
2,7,0,0
3,2,0,0
4,17,0,0
5,13,0,0
6,39,0,0
7,36,0,0
8,45,1,0
9,57,1,0
10,37,1,0
11,141,2,0
12,100,5,28
13,173,7,0
14,400,11,2
15,622,7,0
16,582,19,151
17,2955,78,10
18,1159,62,324
19,1407,94,0
20,2144,53,13
21,1806,191,498
22,2162,90,53
23,4053,207,26
24,2447,213,481
25,4964,332,537
26,3394,397,450
27,6368,539,0
28,4749,497,1219
29,9630,839,1573
30,8271,718,1648
31,7933,773,2342
32,7516,844,2928
33,6875,821,2424
34,7846,913,2071
35,7967,748,2479
36,8195,923,3388
37,7947,961,4096
38,7134,850,3770
39,6969,749,3706
40,5478,694,3861
41,5029,700,2357
42,5267,704,2771
43,6278,747,4813
44,5002,655,4144
45,5051,634,3503
46,4754,525,3441
47,3804,603,3282
